id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag
id1019488,2,1/1/2016 0:08,1/1/2016 0:22,1,-73.97612,40.74908066,-74.00744629,40.72645187,N
id2336715,2,1/1/2016 0:09,1/1/2016 0:19,2,-73.98435974,40.74898529,-73.99628448,40.71605682,N
id3150178,2,1/1/2016 0:18,1/1/2016 0:34,1,-73.97496796,40.77772141,-73.97388458,40.75742722,N
id3393823,2,1/1/2016 0:30,1/1/2016 0:51,1,-73.99086761,40.74516678,-73.97763824,40.7840271,N
id1349085,2,1/1/2016 0:33,1/1/2016 0:50,1,-74.00798035,40.74020767,-73.98892212,40.76508331,N
id1952448,1,1/1/2016 0:34,1/1/2016 0:50,1,-73.95687866,40.77788162,-73.98365021,40.73400879,N
id0410049,2,1/1/2016 0:42,1/1/2016 1:03,1,-73.98858643,40.74515152,-73.97332001,40.78448105,N
id3696455,2,1/1/2016 0:46,1/1/2016 1:08,2,-73.9596405,40.7179985,-73.99411011,40.66171646,N
id2457685,1,1/1/2016 0:57,1/1/2016 1:27,1,-73.94827271,40.78255463,-73.92914581,40.70266724,N
id0168257,2,1/1/2016 0:59,1/1/2016 1:22,5,-73.99149323,40.75017548,-73.99463654,40.71954346,N
id3731150,1,1/1/2016 1:10,1/1/2016 1:14,1,-74.01719666,40.70484924,-74.00434875,40.70750046,N
id0858872,1,1/1/2016 1:22,1/1/2016 1:30,2,-74.00507355,40.72175217,-74.04058075,40.72986984,N
id2182094,1,1/1/2016 1:25,1/1/2016 1:34,1,-73.94633484,40.77750778,-73.97627258,40.78606796,N
id3469535,1,1/1/2016 1:50,1/1/2016 2:01,1,-73.96331787,40.7659874,-73.97384644,40.79445648,N
id1164407,2,1/1/2016 1:51,1/1/2016 2:03,2,-73.9668045,40.8043251,-73.94007874,40.84716797,N
id0311766,1,1/1/2016 2:03,1/1/2016 2:09,1,-73.95580292,40.78783035,-73.97424316,40.76227951,N
id1967545,1,1/1/2016 2:19,1/1/2016 2:52,3,-73.93449402,40.69856644,-73.99674988,40.71540833,N
id2177463,2,1/1/2016 2:20,1/1/2016 2:22,1,-73.86540222,40.68592072,-73.8610611,40.68458939,N
id3314517,2,1/1/2016 2:41,1/1/2016 2:57,3,-73.95456696,40.7167511,-73.97867584,40.67913818,N
id3240583,2,1/1/2016 2:58,1/1/2016 3:06,2,-73.97068787,40.75183487,-73.99452209,40.75210953,N
id1527619,1,1/1/2016 3:20,1/1/2016 3:43,1,-73.99637604,40.74883652,-73.98712921,40.69756699,N
id0645865,2,1/1/2016 3:49,1/1/2016 3:52,2,-73.95314789,40.79161835,-73.96820831,40.79722977,N
id2071333,1,1/1/2016 4:04,1/1/2016 4:32,2,-73.92776489,40.69279099,-74.01163483,40.64409637,N
id1853272,1,1/1/2016 4:12,1/1/2016 4:21,1,-74.00431061,40.75250244,-74.00298309,40.72076416,N
id1915421,1,1/1/2016 4:39,1/1/2016 4:48,2,-73.99317169,40.72440338,-74.00248718,40.75002289,N
id2653794,1,1/1/2016 5:30,1/1/2016 5:45,2,-73.97386169,40.75088501,-74.01456451,40.71731186,N
id0687251,1,1/1/2016 6:10,1/1/2016 6:26,1,-73.95639038,40.76701355,-73.94254303,40.84184647,N
id0669850,2,1/1/2016 7:00,1/1/2016 7:05,1,-73.97622681,40.75152969,-73.99887085,40.76032639,N
id2216896,2,1/1/2016 7:07,1/1/2016 7:39,2,-73.78806305,40.64185333,-73.95882416,40.67177582,N
id3704399,1,1/1/2016 8:12,1/1/2016 8:28,1,-73.94845581,40.77408218,-73.86415863,40.76979828,N
id3336015,2,1/1/2016 9:39,1/1/2016 9:44,3,-73.95487976,40.77756882,-73.96687317,40.77074814,N
id2987313,2,1/1/2016 9:47,1/1/2016 9:49,1,-73.99407196,40.75128174,-73.99429321,40.75852585,N
id3620795,1,1/1/2016 10:45,1/1/2016 10:51,1,-74.0016098,40.74081039,-73.99622345,40.72590256,N
id0961618,2,1/1/2016 11:12,1/1/2016 11:17,3,-73.95300293,40.77252197,-73.95791626,40.76522827,N
id3716832,1,1/1/2016 11:35,1/1/2016 11:57,3,-73.97480011,40.79253006,-73.99334717,40.75244904,N
id3190787,2,1/1/2016 11:41,1/1/2016 12:00,1,-73.99450684,40.72600937,-73.98432922,40.76483154,N
id2210008,1,1/1/2016 11:48,1/1/2016 11:51,1,-73.98661041,40.77688599,-73.98034668,40.78538513,N
id3510303,2,1/1/2016 12:13,1/1/2016 12:42,2,-73.77670288,40.64543152,-73.9568634,40.77082825,N
id2626700,1,1/1/2016 12:14,1/1/2016 12:23,1,-74.00140381,40.73126221,-73.98097229,40.74464035,N
id1911328,2,1/1/2016 12:18,1/1/2016 12:23,1,-73.98181152,40.74052811,-73.97297668,40.75576019,N
id2963258,2,1/1/2016 12:34,1/1/2016 12:43,5,-73.98786163,40.74103928,-73.96652222,40.76171875,N
id3759207,1,1/1/2016 12:35,1/1/2016 12:42,1,-73.96700287,40.75669098,-73.9881134,40.73790359,N
id1268565,2,1/1/2016 12:48,1/1/2016 12:54,1,-73.98452759,40.75915909,-73.99523926,40.75289154,N
id0077735,2,1/1/2016 13:31,1/1/2016 13:57,1,-73.99324036,40.73097229,-73.97465515,40.7353363,N
id3449351,2,1/1/2016 13:31,1/1/2016 13:44,3,-74.00808716,40.73942566,-73.97703552,40.75072098,N
id3142379,2,1/1/2016 13:56,1/1/2016 14:02,1,-73.9516983,40.82495499,-73.94268036,40.83698654,N
id0283471,1,1/1/2016 14:05,1/1/2016 14:12,1,-73.96523285,40.75507355,-73.95227051,40.78103256,N
id3528732,2,1/1/2016 14:26,1/1/2016 14:31,1,-73.96099854,40.76092148,-73.97409821,40.74705887,N
id3034897,2,1/1/2016 14:47,1/1/2016 15:17,5,-73.97714996,40.76610184,-73.78343201,40.64374924,N
id2216578,1,1/1/2016 15:10,1/1/2016 15:17,2,-73.97805023,40.75748062,-73.98365021,40.74424744,N
id0589133,2,1/1/2016 15:20,1/1/2016 15:22,1,-73.97790527,40.7834053,-73.97185516,40.78624725,N
id3806962,2,1/1/2016 15:48,1/1/2016 15:53,6,-74.00536346,40.72233963,-73.99469757,40.74013901,N
id2908765,2,1/1/2016 16:22,1/1/2016 16:27,5,-73.97344208,40.76374435,-73.9752655,40.75217819,N
id0904100,1,1/1/2016 16:41,1/1/2016 16:53,3,-73.96522522,40.77486801,-73.99328613,40.75740814,N
id0455193,1,1/1/2016 16:47,1/1/2016 17:13,4,-73.99850464,40.71708679,-73.98182678,40.76129532,N
id0190736,1,1/1/2016 17:11,1/1/2016 17:31,1,-73.89982605,40.74118805,-73.82791901,40.82728195,N
id3137840,2,1/1/2016 17:48,1/1/2016 17:59,1,-73.97545624,40.75756073,-73.98790741,40.77512741,N
id2050280,1,1/1/2016 17:50,1/1/2016 18:04,4,-74.00785828,40.74047852,-73.98464966,40.72038269,N
id2008116,1,1/1/2016 17:54,1/1/2016 18:00,1,-74.00046539,40.76195526,-73.97331238,40.79283524,N
id3920129,2,1/1/2016 18:04,1/1/2016 18:09,5,-73.98108673,40.76433563,-73.98088837,40.77159119,N
id2638020,2,1/1/2016 18:05,1/1/2016 18:18,3,-73.97073364,40.76359177,-73.97863007,40.75669861,N
id2757823,1,1/1/2016 19:13,1/1/2016 19:36,1,-73.97671509,40.75911713,-73.98439026,40.76244354,N
